CNN,STREET,COLOR
25167000,POST,Green
24893000,CYRIL MAGNIN,Green
24893000,EDDY,Green
23799000,03RD ST,Green
23799000,KING,Green
26696000,LOMBARD,Green
26696000,VAN NESS,Green
22448000,IDORA,Green
22448000,WOODSIDE,Green
20250000,03RD ST,Green
20250000,MARIN,Green
20507000,03RD ST,Green
20507000,UNDERWOOD,Green
24075000,23RD ST,Green
24075000,SOUTH VAN NESS,Green
20230000,03RD ST,Green
20230000,JERROLD,Green
20230000,NEWHALL,Green
26938000,CALIFORNIA,Green
26938000,LOCUST,Green
25220000,FRANKLIN,Green
25220000,SUTTER,Green
25170000,GEARY,Green
25170000,LARKIN,Green
25966000,GOLDEN GATE,Green
25966000,WEBSTER,Green
30748000,MARKET,Yellow
30748000,SOUTH VAN NESS,Green
30748000,VAN NESS,Green
25216000,FRANKLIN,Green
25216000,POST,Green
27104000,07TH AVE,Green
27104000,LAWTON,Red
27104000,WARREN,Green
24174000,17TH ST,Green
24174000,VALENCIA,Green
24942000,O'FARRELL,Green
24942000,TAYLOR,Green
26026000,DIVISADERO,Green
26026000,HAIGHT,Green
24070000,24TH ST,Green
24070000,CAPP,Green
24534000,01ST ST,Green
24534000,NATOMA (TRANSBAY DRIVEWAY),Green
22662000,DORADO,Green
22662000,JULES,Red
22662000,OCEAN,Green
20498000,03RD ST,Green
20498000,BAYVIEW,Red
20498000,REVERE,Green
26845000,EUCLID,Green
26845000,MASONIC,Green
26436000,OAK,Green
26436000,SHRADER,Green
20223000,03RD ST,Green
20223000,KIRKWOOD,Green
20223000,NEWHALL,Green
2800102,BAYSHORE,Green
2800102,MIDBLOCK AT,Green
2800102,CORTLAND,Green
2800102,FLOWER,Green
22223000,LEE,Green
22223000,OCEAN,Green
21589000,ALEMANY,Green
21589000,SICKLES,Green
25949000,FILLMORE,Green
25949000,OAK,Green
25294000,CALIFORNIA,Green
25294000,LARKIN,Green
26642000,PINE,Yellow
26642000,SCOTT,Green
21290000,CESAR CHAVEZ,Green
21290000,SHOTWELL,Green
26376000,HAYES,Green
26376000,MASONIC,Green
24922000,06TH ST,Green
24922000,GOLDEN GATE,Green
24922000,MARKET,Green
24922000,TAYLOR,Green
25230000,LEAVENWORTH,Green
25230000,PINE,Green
23032000,19TH AVE,Green
23032000,HOLLOWAY,Green
24336000,14TH ST,Green
24336000,FOLSOM,Green
23803000,02ND ST,Green
23803000,BRANNAN,Green
30730000,FREMONT,Green
30730000,FRONT,Red
30730000,MARKET,Green
25963000,GOUGH,Green
25963000,TURK,Green
22192000,GENEVA,Green
22192000,OCEAN,Green
22192000,PHELAN,Green
24265000,07TH ST,Green
24265000,HOWARD,Green
23569000,18TH ST,Green
23569000,ILLINOIS,Green
22433000,EVELYN,Green
22433000,PORTOLA,Green
24186000,15TH ST,Green
24186000,POTRERO,Green
25057000,BROADWAY,Green
25057000,STOCKTON,Green
26816000,BRODERICK,Green
26816000,BUSH,Green
23827000,04TH ST,Green
23827000,BRANNAN,Green
21353000,DUNCAN,Green
21353000,GUERRERO,Green
30745000,09TH ST,Green
30745000,HAYES,Red
30745000,LARKIN,Green
30745000,MARKET,Green
25384000,BAY,Green
25384000,KEARNY,Green
7834201,KING,Green
7834201,MIDBLOCK AT,Green
7834201,04TH ST,Green
7834201,05TH ST,Green
26004000,14TH ST,Green
26004000,CASTRO,Green
27840000,30TH AVE,Green
27840000,GEARY,Green
23411000,RIVERA,Green
23411000,SUNSET,Green
10669201,POTRERO,Green
10669201,MIDBLOCK AT,Green
10669201,22ND ST,Green
10669201,23RD ST,Green
34166000,TERRY FRANCOIS,Green
34166000,WARRIORS,Green
21296000,26TH ST,Green
21296000,SOUTH VAN NESS,Green
34167000,04TH ST,Green
34167000,CHANNEL,Green
30758000,BUCHANAN,Green
30758000,DUBOCE,Green
30758000,MARKET,Green
26915000,CALIFORNIA,Green
26915000,WALNUT,Green
23946000,06TH ST,Green
23946000,HOWARD,Green
25301000,POLK,Green
25301000,SACRAMENTO,Green
30719000,BATTERY,Green
30719000,FILBERT,Green
30719000,LEVI PLAZA,Green
24894000,ELLIS,Green
24894000,POWELL,Green
24952000,POST,Green
24952000,TAYLOR,Green
21487000,ALEMANY,Green
21487000,NIAGARA,Green
27230000,ARGUELLO,Green
27230000,GEARY,Green
27366000,19TH AVE,Yellow
27366000,JUDAH,Green
